date,location,text
2021-02-07 15:49:31,,@ML_Ayuda Ya lo hice! Lo peor es q el señor se burla de mi porque le sigo haciendo el reclamo y a mi me toca espera… https://t.co/6WElCFmRS8
2021-02-07 15:48:49,Capital Federal,Es cierto que demoran hasta 40 días para que me hagan la devolución? @ML_Ayuda @ML_Argentina @mercadopago… https://t.co/Vih21E5Xe0
2021-02-07 15:48:11,,@ML_Ayuda @ML_Mexico @Mercadolibre Necesito mi dinero de regreso ya compre los productos en @amazonmex una vez que… https://t.co/zVfbY2DAjW
2021-02-07 15:46:39,"GDL, MX",@ML_Ayuda @Mercadolibre @MercadoPagoMex @Concilianet @Profeco ¿CUÁNDO podré retirar el dinero que me están robando… https://t.co/hKUEwYKfDH
2021-02-07 15:45:13,,"@ML_Ayuda y me dijieron que llame a at.cliente pero no atienden , el paquete no volvió al lugar de donde lo mandaro… https://t.co/PRLBGFmG5J"
2021-02-07 15:44:40,,"@ML_Ayuda Esto fue lo que me contestaron! De verdad no puedes ser, que su sistema de soporte al cliente es una basu… https://t.co/OvyOPeO9HH"
2021-02-07 15:44:10,"Guernica, Argentina","@ML_Ayuda Worldseg no puedo ingresar a mi cuenta, porque mi clave venció y a su vez, no me llega el código de verif… https://t.co/b1QUif9Fxr"
2021-02-07 15:44:10,,"RT @ML_Ayuda: @VictorCalvaMtz ¡Hola, Victor! Vemos que tu envío se encuentra demorado y llegará a más tardar el 12_02 a tu domicilio. Si ll…"
2021-02-07 15:43:45,,"@rialre @ML_Ayuda @ML_Ayuda @marcos_galperin @mercadopago @ML_Argentina Hola, necesito ayuda, hace más de 2 semanas… https://t.co/6xMU4oRoPt"
2021-02-07 15:43:25,,"@ML_Ayuda es la información correcto pero el paquete es hace 6 meses, en el momento que llegó lo fui a buscar a la… https://t.co/H5f9gBSUAC"
2021-02-07 15:42:55,,"@ML_Ayuda la aplicación me pide validar mi identidad y no llego a hacerlo porque me dice ""Detectamos que no cumplís… https://t.co/n6HmWQOS6E"
2021-02-07 15:42:12,,@ML_Ayuda entonces no me puede facilitar un correo de contacto?
2021-02-07 15:41:48,CDMX,@ML_Ayuda Mi usuario es ALEXZM1 https://t.co/z7vHibldLW
2021-02-07 15:41:42,,@ML_Ayuda @mercadopago Me bloquearon la cuenta por los movimientos en pandemia 2020. Me pidieron dj. Detalle de mov… https://t.co/1qrD9DDulW
2021-02-07 15:39:34,Chile,@ML_Ayuda @Mercadolibre Ustedes lo cerraron y algun correo!! Algo !
2021-02-07 15:39:24,Guadalajara,"@ML_Ayuda @ML_Mexico Por este motivo me comunico por este medio tengo 3 días esperando respuesta y no la hay, merca… https://t.co/Ob7Jw5lmV1"
2021-02-07 15:38:32,"GDL, MX",@ML_Ayuda @Mercadolibre @MercadoPagoMex @Concilianet @Profeco Hola. Es evidente que NO me han mandado ningún correo… https://t.co/wj5xZFmGR4
2021-02-07 15:38:26,,"@ML_Ayuda Si así es pero no me dan respuesta y ya son 16 días cuando se supone que la respuesta va de 3 a 7 días,
A… https://t.co/KDtuqbygXJ"
2021-02-07 15:37:28,,"@ML_Ayuda no me entendió,a que cuenta e-mail escribo mi consulta? me da una dirección de correo porfavor? me llegó… https://t.co/JZQhiELhP9"
2021-02-07 15:35:27,,"RT @VictorCalvaMtz: @ML_Ayuda No compren en Mercado libre, tiene más de una semana que no me entregan mi pedido y no me quieren regresar mi…"
2021-02-07 15:34:27,,@ML_Ayuda Gracias 🙏🏻 espero pronto respuesta
2021-02-07 15:32:42,,@ML_Ayuda Si me dijeron que validara mi cuenta con mis documentos y envié foto de mi identificación después de eso… https://t.co/sTyzw15iMb
2021-02-07 15:31:08,"Buenos Aires, Argentina",@ML_Ayuda @ML_Argentina Lo mismo me dijeron con el dinero. Te damos la tranquilidad q tu dinero esta a salvo. Y no… https://t.co/OZTTd4g8ZG
2021-02-07 15:31:00,Guadalajara,@ML_Ayuda @ML_Mexico Yoanpablo@hotmail.com
2021-02-07 15:30:37,,"@ML_Ayuda No compren en Mercado libre, tiene más de una semana que no me entregan mi pedido y no me quieren regresa… https://t.co/e2i4vjSdjQ"
2021-02-07 15:30:05,"Bogotá, D.C.","@ML_Ayuda @ServientregaCS Esperaré a qué se actualice la información en sus plataformas.
Gracias a las dos empresas… https://t.co/jf7iysGNHZ"
2021-02-07 15:29:43,,@ML_Ayuda a que correo me comunico?
2021-02-07 15:29:28,,"@ML_Ayuda @marcos_galperin @mercadopago @ML_Argentina Mercado Libre Necesito ayuda, hace más de 2 semanas me suspen… https://t.co/G2E2sl9Ynm"
2021-02-07 15:27:52,,"@ML_Ayuda No no eh tenido comunicación nunca, dan un periodo para responder y cuando pasa mágicamente desaparece li… https://t.co/x8KwJ9H5Ff"
2021-02-07 15:26:34,Ciudad Autónoma de Buenos Aire,@ML_Ayuda Lo hice hace unos dias y persiste el problema
2021-02-07 15:25:38,Barranquilla,@ML_Ayuda @ML_Colombia @ML_Colombia @ML_Ayuda el banco me dio un certificado de que la tarjeta fue cancelada. Yo re… https://t.co/1Parz2xtsn
2021-02-07 15:24:19,,@ML_Ayuda pero responden las respuestas a sus correos? o son meramente automáticas? hay alguna forma de acceder a l… https://t.co/8gIPRLJ5jx
2021-02-07 15:21:24,,@ML_Ayuda Se me hace una mamada que me hayan bloqueado la cuenta en la cual no tenía ni ventas ni compras SOLO TENÍ… https://t.co/fXSYxX4KBC
2021-02-07 15:21:06,Guayaquil,@ML_Ayuda Todo eso se hizo y seguimos en las mismas. Es el login lo que no entra. Desde app y notebook.
2021-02-07 15:17:42,CDMX,"@ML_Ayuda que tal! no puedo completar mi compra en MercadoLibre usando mi tarjeta de crédito citibanamex, me aparec… https://t.co/Vq0KcDdXcQ"
2021-02-07 15:14:13,,"@ML_Ayuda CU-480472223-AR , son 3 pares de zapatillas que vinieron desde Córdoba"
2021-02-07 15:13:58,"Buenos Aires, Argentina",@ML_Ayuda @ML_Argentina Si ya es la tercer consulta pero no me responden lo q yo pregunto. Responden lo q ustedes q… https://t.co/gqUukw5RPs
2021-02-07 15:13:44,Guadalajara,@ML_Ayuda @ML_Mexico Si ya hice eso 20 veces y me manda a que explique qué sucedió y así llevo desde el día 1 y sig… https://t.co/AYjCXsssS2
2021-02-07 15:12:18,,"@ML_Ayuda Muy buenos días, necesito recuperar una cuenta con ustedes, me envía el código a mi número de contacto, p… https://t.co/aYBq18mWfK"
2021-02-07 15:12:13,"Querétaro, Querétaro Arteaga","@ML_Ayuda Gracias, estaré al pendiente. Es importante que si los clientes pagamos por un servicio (al día siguiente… https://t.co/2bcMzVM6jb"
2021-02-07 15:11:17,Guayaquil,"@ML_Ayuda en la barra de direcciones sale: https://t.co/eCs9Y7hjnN

y en el contenido sale que la pagina no existe."
2021-02-07 15:10:28,Acatlan de osorio,@ML_Ayuda @Mercadolibre Me rechaza el pago
2021-02-07 15:10:08,,"@ML_Ayuda me comunico por el caso #93382569,alfin respondieron mi correo y dice ""suspendimos tu cuenta ya que encon… https://t.co/0WajjTPWv5"
2021-02-07 15:09:08,,@ML_Ayuda Como esta cerrado no me permite. Igual si mande tmb un mensaje al vendedor
2021-02-07 15:06:12,Tatooine,@ML_Ayuda @ML_Argentina @Mercadolibre @mercadopago @marcos_galperin @DNDConsumidor @tuQuejaSuma ¡ELIMINEN LAS CONSU… https://t.co/pd3jCq3MCQ
2021-02-07 15:05:27,Guayaquil,"@ML_Ayuda hola buen dia, sigo sin poder entrar desde la computadora o la app, por favor alguien ayude con este inco… https://t.co/aKLBS2yd4K"
2021-02-07 14:58:17,,@ML_Ayuda @rialre Hola! Quiero verificar mi cuenta peor cambie de nro de teléfono. Y para hacerlo con DNI no puedo… https://t.co/t5bC2Ectgt
2021-02-07 14:56:41,,@ML_Ayuda @Mercadolibre No sirve en lo absoluto las soluciones que dan.
2021-02-07 14:53:41,Chile,"@Mercadolibre @ML_Ayuda SON BIEN CARE DE RAJAS ESTOS WEONES , AUN NO ME DEVUELVEN EL DINERO Y ME DICEN QUE ELLOS CE… https://t.co/TFqMnkn2Ur"
2021-02-07 14:49:01,Ciudad Autónoma de Buenos Aire,@ML_Ayuda Esto es lo que me aparece https://t.co/1No8b9Om29
2021-02-07 14:48:32,Ecuador,"@ML_Ayuda Lo que usted me indica lo abre echo unas 20 veces y nada ,,, cuando funciona nuevamente la pagina ?"
2021-02-07 14:45:12,,"@ML_Ayuda @Mercadolibre Malisima la atencion. Un desastre ese equipo ""especializado"""
2021-02-07 14:44:03,Argentina,@ML_Ayuda @IgnaHerreraoc Ya les mandé captura de que no tengo ninguna opción cuando elijo “necesito ayuda”! Me pued… https://t.co/7gxmoMFaAc
2021-02-07 14:42:08,,"@ML_Ayuda Si, pero me darán respuesta pronto?
Llevan ya 2 meses diciéndome lo mismo y no veo que esto termine, siem… https://t.co/WvrJMJMdoS"
2021-02-07 14:26:45,Ciudad Autónoma de Buenos Aire,@ML_Ayuda @paulvelaaa @ML_Mexico contraten mas gente y o paguen mejor ya que no son empleados por lo menos mas paga
2021-02-07 14:21:31,,"@ML_Ayuda y me acaban de suspender la cuenta por 3 días por su culpa, EN NINGUN MOMENTO PUSE 1 SOLO DATO DE CONTACT… https://t.co/DbPU5Ssm66"
2021-02-07 14:19:57,Argentina,"@ML_Ayuda @frutsipau @Mercadolibre Entonces, si saben que pueden demorar más, AVISENLO PORQUE SI UNO LO NECESITA UR… https://t.co/NB4opOd9Uy"
2021-02-07 14:15:00,,"@ML_Ayuda @ML_Argentina @ML_Ayuda usuario: elalcon mail santelmorelax@hotmail.com publicacion: #906431055, es una r… https://t.co/AogNdCaLf1"
2021-02-07 14:10:48,"Querétaro, Querétaro Arteaga",@ML_Ayuda Necesito me apoyen con una reclamación de envío. Yo pagué para que mi envío estuviera ayer sábado 6 de fe… https://t.co/A0Qx6H1J1w
2021-02-07 14:10:13,,"@ML_Ayuda Hola, me contacto con ustedes porque ayer publiqué un producto en ML y al rato me lo pausaron por ""datos… https://t.co/PMVJXkblfk"
2021-02-07 14:08:35,"Buenos Aires, Argentina","@ML_Ayuda Nada... No entendieron...
Suerte que yo sí."
2021-02-07 14:04:01,Argentina,@ML_Ayuda Esta cuenta tengo ahora obtuve por parte de mercado pago pero no tengo ninguna compra aca y en mercado pa… https://t.co/chWf5a0csA
2021-02-07 14:02:48,,@Mercadolibre @ML_Ayuda @ML_Argentina Necesito comunicarme por un canal que no sea mail. Tienen mi dinero retenido… https://t.co/RAXoSBJtqf
2021-02-07 13:59:27,"Montevideo, Uruguay",@ML_Ayuda @ML_Uruguay Mi usuario es LIBRERIA_DEL_MERCADO
2021-02-07 13:58:41,,"@ML_Ayuda Hola¡ necesito saber la ubicación de mi pedido ¡urgente¡ para ir retirarlo , este es mi gmail: alexdelvalle730@gmail.com"
2021-02-07 13:57:41,Argentina,@ML_Ayuda https://t.co/5LMJx1nsY5
2021-02-07 13:57:30,"Montevideo, Uruguay",@ML_Ayuda @ML_Uruguay Publicaciones son mas de 30 porque tengo el sistema de gestion integrado a ML y cuando doy de… https://t.co/Q8qBhJZ2bN
2021-02-07 13:57:10,,"La idea es que respondan por mis reclamos,estoy a la espera desde el pasado 3/12/20 por mi cuenta formosa291188@gma… https://t.co/772KMMOp8K"
2021-02-07 13:52:17,Chile,"@ML_Ayuda @Mercadolibre Entiendo la necesidad de garantizar la seguridad, pero pedir fotografiar DNI por ambos lado… https://t.co/FLJrjQIGOI"
2021-02-07 13:50:05,,"@ML_Ayuda Es el mensaje que me sale cuando quiero hacer una publicación, y no hay manera de avanzar de ese apartado"
2021-02-07 13:45:04,,"@ML_Ayuda @NoreysHurtado @ML_Venezuela @Mercadolibre Estoy donde dice ""la venta no se hizo"", le doy ""cancelar venta… https://t.co/mdpntRbUty"
2021-02-07 13:37:59,,@ML_Ayuda Vale muchas gracias 😃
2021-02-07 13:36:49,,@ML_Ayuda Buen dia: que pena la insistencia pero no me deja ni ingresar a la cuenta por eso no puedo ni buscar ayud… https://t.co/XOtLhlzaHW
2021-02-07 13:36:22,,"@ML_Ayuda @ML_Argentina @ML_Ayuda el usuario es ELALCON mail santelmorelax@hotmail.com y la publicacion #906431055,… https://t.co/lBRbZzCjSF"
2021-02-07 13:34:14,"Buenos Aires, Argentina","@ML_Ayuda @francmontoya Notaron una baja en el volumen de ventas con la llegada de @CorreoCompras ?

Jajaja"
2021-02-07 13:27:58,,"@ML_Ayuda Buen dia: mi caso es el 91410775.El viernes pasado support@supportcenter.mercadolibre.com
me escribió que… https://t.co/gXhLgqUOOA"
2021-02-07 13:25:29,Venezuela,@ML_Ayuda @ML_Venezuela @Mercadolibre Hola hoy se vence mi factura y aún no logro resolver no detecta el mail que t… https://t.co/QC8dSPpzOB
2021-02-07 13:15:29,,@busan2009 @ML_Ayuda Pero amigo por medio de Apple es decir por medio del celular iphone se puede?
2021-02-07 13:14:52,,@busan2009 @ML_Ayuda Y mercado libre dice que no existe ningun problema
2021-02-07 13:14:35,,RT @busan2009: @PuenteEdy @ML_Ayuda Este problema empezó desde el 1 de febrero..... Es para los usuarios que usan la plataforma en windows.…
2021-02-07 13:10:37,,@ML_Ayuda Por eso mismo quisiers ver de alguna. Gracias
2021-02-07 13:09:40,,@ML_Ayuda pago q lo había realizado con tarjeta de crédito. El cual la devolución no sería inmediata. Cuando dejo d… https://t.co/rMQnBvHbeh
2021-02-07 13:08:56,,"@ML_Ayuda Hola buenos días. Compre un celular el cual cuando me llego le sucedía que se reiniciaba, luego había dej… https://t.co/2CZFptum5Z"
2021-02-07 13:06:54,"Bogotá, D.C.","@ML_Ayuda @ServientregaCS Aparece ""Estás con demora"". Es decir, el sistema no registra el envío."
2021-02-07 13:05:48,,@ML_Ayuda me han bloqueado mi cuenta y tengo dinero ahí 3 mil soles que equivalen a 750 dólares . Necesito una solu… https://t.co/BVgNnzCj5E
2021-02-07 13:05:29,"Bogotá, Colombia",Los animales no son mercancía. Deben ser tratados con respeto. Son seres sintientes.. @ML_Ayuda: ¡Prohíban la venta… https://t.co/2TCr7roAyp
2021-02-07 12:50:28,,@ML_Ayuda @frutsipau @Mercadolibre ENTONCES NO COBREN ENVIO FULL!
2021-02-07 12:35:20,Tatooine,"@ML_Ayuda ¡SOLUCIONEN ESTO HOY MISMO!
¡YA PASARON 167 DÍAS!
¡NO ME HAGAN ESPERAR MÁS!"
2021-02-07 12:34:35,,@ML_Ayuda Hola! Hoy detecté un movimiento en mi cuenta de Mercadopago que yo no hice. Es raro porque no me figura o… https://t.co/IuOVPp6C45
2021-02-07 12:28:40,"Vicente López, Argentina",@ML_Ayuda @marcos_galperin Hola! Mi usuario es pborti y el número de operación supongo que es 4125164633. Saludos
2021-02-07 12:26:31,,@ML_Ayuda @Mercadolibre Lo haría con gusto si me dejara. Mi nombre de usuario es JFGC1292 y la publicación es la ún… https://t.co/hMF5OD5Sk5
2021-02-07 12:21:15,,@ML_Ayuda @Mercadolibre El jueves 4 recibí correctamente una compra realizada mediante Mercado Libre y la página no… https://t.co/FMi26l9fe8
2021-02-07 12:13:11,EstaLEJOS,@ML_Ayuda @marcos_galperin Necesito mis ahorros
2021-02-07 12:09:50,,@mercadopago @ML_Ayuda como puedo hacer una consulta ya que a los mail no responden
2021-02-07 10:43:45,México,"@ML_Ayuda ayuda!! Mi cuenta fue bloqueada, solo quiero pagar mis mensualidades restante de mercado crédito pero no… https://t.co/Y8Ds78VX0O"
2021-02-07 10:37:08,Always on Earth. ,@PuenteEdy @ML_Ayuda Este problema empezó desde el 1 de febrero..... Es para los usuarios que usan la plataforma en… https://t.co/cOrw6ftqWf
2021-02-07 10:33:26,,@ML_Ayuda @Mercadolibre Buenos días!!! Revisé el correo y no ingreso ningún mensaje nuevo (mire bandeja de entrada… https://t.co/arYfCKMwFU
2021-02-07 10:12:04,,"RT @lemor1958: @ML_Ayuda Mi usuario TEXTILES1958, mi correo asociado morenito1958@gmail.com.  Pago efectuado a tiempo Operacion nro. 030476…"
2021-02-07 09:33:42,"Sydney, New South Wales","@ML_Ayuda hola, me ayudan a recuperar mi cuenta? Apodo es clint230. No puedo recuperarla con mi celular porque ya no vivo en Argentina. Slds"
2021-02-07 08:52:22,Ambao- Ecuador,"@FAA54993392 @ML_Argentina @ML_Ayuda @ML_Argentina @ML_Ayuda
Respondan al panita. Porfaa"
2021-02-07 08:36:38,"Buenos Aires, Argentina",@ML_Argentina  @ml_ayuda Hola. Devuelvan la plata que me están robando. Mas de $100000 que me están reteniendo en l… https://t.co/6tpCfOzd1u
2021-02-07 08:08:06,,@ML_Ayuda @CrisCabargas @Mercadolibre Amigos   de  mercado  libre   hoy   es  7   de  febrero    dia  que  en  teor… https://t.co/vCAPL9iEr6
2021-02-07 07:46:08,Acatlan de osorio,@Mercadolibre  @ML_Ayuda  cancelaron mi cuenta?
2021-02-07 07:44:26,"Buenos Aires, Argentina.",@ML_Ayuda  Me pide que verifique mi identidad xq van a cerrar la cuenta por ser menor de edad (17) No vivo con mis… https://t.co/gy1QTRC2tc
2021-02-07 07:40:11,"Monterrey, México","@ML_Ayuda no puedo acceder a mi cuenta , ya envié mi INE, y no me deja acceder aún , tengo correos de compras anter… https://t.co/C5ujq49O7l"
2021-02-07 07:17:45,México,@ML_Ayuda @Mercadolibre Para mensaje directo
2021-02-07 07:12:20,,"@marcos_galperin disculpe que me dirijo a Ud, pero no puedo recuperar mi cuenta de Mercado Libre no de Mercado Pago… https://t.co/qDVsE0a0Xb"
2021-02-07 06:35:06,,@ML_Ayuda Amigos   de  mercado  libre   hoy   es  7   de  febrero    dia  que  en  teoria  me  reembolsaran   el… https://t.co/5EtU3Fszwh
2021-02-07 06:33:34,,@ML_Ayuda @ML_Argentina @ML_Mexico Amigos   de  mercado  libre   hoy   es  7   de  febrero    dia  que  en  teoria… https://t.co/xS8eeaZugM
2021-02-07 05:48:41,,"@ML_Ayuda realice una compra, cuadre el pago y la entrega con el vendedor, no me envío el producto y me dijo q me d… https://t.co/m0IM94ipaw"
2021-02-07 05:31:38,,"@ML_Ayuda
Llevó ya casi 2 meses sin que me den solución de mi problema, solo me dan largas me piden documentos y 20… https://t.co/ftg020LWiL"
2021-02-07 05:22:58,"Guanajuato, Mexico",@ML_Ayuda Mercadolibre Mexico no me deja crear una cuenta porque no tengo INE ni IFE. Tengo identificacion oficial… https://t.co/WdVIpU3PSN
2021-02-07 05:11:11,"Buenos Aires, Argentina","@ML_Ayuda hola, les escribo porque se me bloqueo la cuenta y cuando me comuniqué con una chica me contestó super ma… https://t.co/z5x7YKUVIs"
2021-02-07 05:06:49,CABA - Argentina ,"@ML_Ayuda @Mercadolibre Chicos, no tengo reclamo en ninguna compra! Me contacto x la sección de ayuda xq me suspend… https://t.co/bL2RhypRVX"
2021-02-07 04:41:10,,@ML_Ayuda tengo el problema de que pague para anunciar una publicacion hace mas de tres dias y todavia no aparece la piblicacion
2021-02-07 04:34:56,World,@ML_Ayuda hola mercadolibre tengo un problema con mi cuenta que uso solo para comprar tengo ya 3 días que no he pod… https://t.co/qLkblJPkeS
2021-02-07 04:33:33,"General Pico, Argentina",@Fran44007 @ML_Ayuda @Mercadolibre Kyc
2021-02-07 04:14:20,,@ML_Ayuda @Mercadolibre No puedo ingresar a mi cuenta de Mdo Libre EC y varios amigos tampoco pueden. Paso algo con su sitio web de Ecuador?
2021-02-07 04:07:47,Quito,"@ML_Ayuda , no puedo iniciar sesion en mi PC, desde ayer tengo este problema, veo que es general esta caida de inic… https://t.co/m3rkIClaoH"
2021-02-07 04:01:26,Ciudad Autónoma de Buenos Aire,@ML_Ayuda hola la app de mercado libre no me esta funcionado no me deja ver mis publicaciones de venta ni tampoco c… https://t.co/uqyqTDzgIg
2021-02-07 03:51:01,,@ML_Ayuda tengo problemas con mi cuenta aiudaaaa
2021-02-07 03:48:34,"La Pampa, Argentina",@marcusmaicol @ML_Ayuda @Mercadolibre https://t.co/9uBMHMqXQk
2021-02-07 03:48:08,Ecuador,"@ML_Ayuda  buenas noches ,, no puedo ingresar con mi cuenta  seudonimo ni correo electronico  ,, pero me siguen lle… https://t.co/SKAGFF93H6"
2021-02-07 03:47:15,Guayaquil,"@ML_Ayuda @Mercadolibre Sigo esperando la respuesta! Y sigue sin solucionarse elnproblema de mi cuenta, vamos casi al mes y medio!!!"
2021-02-07 03:33:10,"GDL, MX","@ML_Ayuda @Mercadolibre @MercadoPagoMex @Concilianet @Profeco Hola. No he recibido ninguna respuesta, necesitan que… https://t.co/fmdNwGlNMk"
2021-02-07 03:29:08,Guanajuato,"@ML_Ayuda me llegó un mensaje que me suspendieron mi cuenta por comportamiento sospechoso, yo solo realizó mis vent… https://t.co/icKFD23MAf"
2021-02-07 03:25:53,Mystic Falls,Porque sucede esto? @ML_Ayuda https://t.co/o3NO90D2M5
2021-02-07 03:04:21,MX,"@ML_Ayuda @ML_Mexico Todo eso ya se hizo y me mandaron hablar con el vendedor, también se levantó un reporte y uste… https://t.co/LmsIFO4JsA"
2021-02-07 02:58:43,Always on Earth. ,@ML_Ayuda @Mercadolibre Probé por plataforma Apple ( de un familiar) y si pude entrar....pero yo uso la plataforma… https://t.co/KJXqqUTWJ2
2021-02-07 02:52:04,,"@ML_Ayuda Estimados, tengo un problema al acceder a mi cuenta de ML. Adjunto imagen referencia. Esta semana present… https://t.co/j6Jfz130xx"
2021-02-07 02:30:45,,@ML_Ayuda Hola! Soy nueva vendiendo y quise compartir una misma cuenta con mis colaboradores pero no sabía que exis… https://t.co/mhihlXR1s7
